"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Activewear clothing features (product.metafields.shopify.activewear-clothing-features)","Activity (product.metafields.shopify.activity)","Clothing features (product.metafields.shopify.clothing-features)","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Fit (product.metafields.shopify.fit)","Headwear features (product.metafields.shopify.headwear-features)","Neckline (product.metafields.shopify.neckline)","Pants length type (product.metafields.shopify.pants-length-type)","Size (product.metafields.shopify.size)","Sleeve length type (product.metafields.shopify.sleeve-length-type)","Target gender (product.metafields.shopify.target-gender)","Top length type (product.metafields.shopify.top-length-type)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"og-alcatraz-joggers-blue-by-corteiz","Og Alcatraz Joggers Blue by Corteiz","Elevate your casual wardrobe with the OG Alcatraz Joggers in striking blue by Corteiz.","Corteiz","Apparel & Accessories > Clothing > Pants > Joggers","joggers","black sweatpants, corteiz black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","2xl","product.metafields.shopify.size","","","","","","","","300.0","","0","deny","manual","125.00","200.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Og-Alcatraz-Joggers-Blue-3.png?v=1786387967","1","","false","Og Alcatraz Joggers Blue by Corteiz Buy No","","","","","blue","","","","","long","2xl; xl; m; l; s","","","","","kg","","","active"
"og-alcatraz-joggers-blue-by-corteiz","","","","","","","","","xl","","","","","","","","","300.0","","0","deny","manual","125.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-blue-by-corteiz","","","","","","","","","m","","","","","","","","","300.0","","0","deny","manual","125.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-blue-by-corteiz","","","","","","","","","l","","","","","","","","","300.0","","0","deny","manual","125.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-blue-by-corteiz","","","","","","","","","s","","","","","","","","","300.0","","0","deny","manual","125.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-black-by-corteiz","OG Alcatraz Joggers Black by Corteiz","Premium streetwear joggers crafted by Corteiz, the OG Alcatraz design delivers authentic urban style with a sleek black colorway. Built for comfort and contemporary fashion, these joggers feature quality construction perfect for casual wear or street culture enthusiasts. The iconic Alcatraz silhouette combines relaxed fit with modern aesthetics, making them a versatile addition to any wardrobe. Ideal for those who appreciate genuine streetwear heritage and elevated everyday wear.","Corteiz","Apparel & Accessories > Clothing > Pants > Joggers","joggers","black sweatpants, corteiz black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","2xl","product.metafields.shopify.size","","","","","","","","210.0","","0","deny","manual","121.00","199.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-OG-Alcatraz-Joggers-Black-2.png?v=1786387851","1","","false","OG Alcatraz Joggers Black by Corteiz Buy Now","","","","","black","","","","","long","2xl; xl; l; m; s","","","","","kg","","","active"
"og-alcatraz-joggers-black-by-corteiz","","","","","","","","","xl","","","","","","","","","210.0","","0","deny","manual","121.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-black-by-corteiz","","","","","","","","","l","","","","","","","","","210.0","","0","deny","manual","121.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-black-by-corteiz","","","","","","","","","m","","","","","","","","","210.0","","0","deny","manual","121.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-joggers-black-by-corteiz","","","","","","","","","s","","","","","","","","","210.0","","0","deny","manual","121.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
